标题,文本,文件名
国家食药总局总局发布《食品召回管理办法》将于2015年9月1日起施行,3月15日，国家食品药品监督管理总局在官网发布消息，宣布《食品召回管理办法》（以下简称《办法》）已获通过，将于2015年9月1日起施行。该《办法》明确了在生产经营过程中发现不安全食品的召回时限，对不立即停止生产经营、不主动召回、不按规定时限启动召回、不按照召回计划召回不安全食品或者不按照规定处置不安全食品等行为均设定了法律责任。《办法》对食品生产经营者召回时限进行了规范。其中，一级召回是食用后已经或者可能导致严重健康损害甚至死亡的，应当在知悉食品安全风险后24小时内启动，并在10个工作日内完成；二级召回是食用后已经或者可能导致一般健康损害的应当在知悉食品安全风险后48小时内启动，在20个工作日内完成；三级召回是对标签、标识存在虚假标注的食品，应当在知悉相关食品安全风险后72小时内启动，在30个工作日内完成。《办法》明确，在生产经营过程中发现不安全食品的，食品生产经营者应当立即停止生产经营；产品已经进入市场的，食品生产经营者应当严格按照期限召回不安全食品，并告知相关食品生产经营者停止生产经营、消费者停止食用，并采取必要的措施防控食品安全风险。而对违法添加非食用物质、腐败变质、病死畜禽等严重危害人体健康和生命安全的不安全食品，《办法》还规定了应当立即就地销毁。在强化企业主体责任落实方面，《办法》明确了食品生产经营者应当承担食品安全第一责任人的义务，依法履行不安全食品的停止生产经营、召回和处置责任。据《办法》，不安全食品存在较大食品安全风险的，食品生产经营者应当在停止生产经营、召回和处置不安全食品结束后5个工作日内向食品药品监管部门书面报告。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
珠海九洲口岸检出一批进口洋酒塑化剂超标,近日，珠海检验检疫局在九洲口岸检出一批进口洋酒中塑化剂残留量超出规定要求，已依法对其做退货处理。该批洋酒为葡萄牙产白兰地，共201箱、840升，价值19960欧元。检验检疫工作人员按照国家质检总局工业食品化妆品风险预警通报（2014年第08号）工作要求，对其进行蒸馏酒类邻苯二甲酸酯类物质（塑化剂）检测。结果显示，该批白兰地中邻苯二甲酸二（2-乙基）己酯（DEHP）每千克含量为1.86毫克，邻苯二甲酸二丁酯（DBP）每千克含量为0.615毫克，两项目均超出国家规定的允许最大残留标准值。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
因氰化物超标，安徽约谈百年徽府等9家酒厂,据中新网6日消息，安徽省食品药品监督管理局对宣城市百年徽府酒厂等9家白酒企业负责人进行集体约谈，因为这些酒厂在2014年国家监督抽查中发现氰化物超标。2014年第4季度，国家食药监总局在全国范围内，组织对酒类进行了监督抽验，共抽检846家企业的1689批次产品，主要包括白酒、葡萄酒、果酒、啤酒、黄酒、其他蒸馏酒、其他发酵酒及配制酒。抽检项目包括重金属、污染物、生物毒素、食品添加剂、微生物及品质指标等40个指标。在是次抽查中，安徽省的宣城市百年徽府酒厂、宣城市世纪宣酒业有限公司、泾县云岭酒厂、淮北市天惠酒业有限责任公司、安徽淮北濉溪县古坊酿酒厂、濉溪县北方白酒厂、濉溪县恒盛酒厂、安徽古家百年酒业有限公司和芜湖市金芜湖酒业有限公司生产的白酒，均被检出氰化物含量超标。白酒氰化物含量标准是≤8mg/L，而上述9家企业氰化物含量均在11mg/L以上，含量最高的是宣城市百年徽府酒厂生产的品宣特贡酒，含量达25.8mg/L，超过标准3倍多。安徽省食品药品研究院专家认为，白酒中的氰化物一是来自原料，如木薯、野生植物根茎直接酿酒，在酿酒过程中会产生氢氰酸，导致氰化物含量超标；二是一些勾兑的低档酒，使用了氰化物含量超标的木薯食用酒精造成的白酒不合格，而氰化物又是国家规定的不能在食品中添加的有毒有害物质，严禁氰化物检测不合格的酒类进入市场。安徽省食药监局食品生产监管部门负责人在约谈过程中，明确要求各家企业要严格履行食品安全第一责任人的主体责任，针对发现的问题及时查找原因，切实采取措施，召回不合格产品，把影响控制在最小范围，坚决杜绝类似问题再次发生。安徽省食药监局要求各地食药监部门加强对白酒生产企业的监管，督促不合格产品的企业认真整改。举一反三，严格日常监管、对所有使用木薯食用酒精沟兑白酒的企业进行全面排查，加大检查的力度，消除食品安全隐患。当日，9家白酒企业负责人分别就各自出现的问题及原因进行了剖析，表示下一步将采取整改措施严把原料索证、索要原料氰化物指标的检验报告，加强过程控制和出厂检验，自身不具备检测能力的，一定要送检合格后才能出厂，确保不再出现类似问题。对此次不合格白酒保证全部召回并销毁。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
葡萄酒中挥发性醇类的测定方法 静态顶空-气相色谱法等行业标准发布,2015年3月23日，工信部发布78项行业标准报批公示，其中包含了四项食品行业标准，列表如下：,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
《酿酒葡萄生产技术规程》等86项农业行业标准批准发布,根据2015年2月9日中华人民共和国农业部公告 第2227号，发布了86项农业行业标准，其中包括了NY/T 2682-2015 酿酒葡萄生产技术规程（2015-5-1实施）》一项酒类相关标准。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
《酿酒红曲》行业标准正在征集起草小组,《酿酒红曲》行业标准已经被工业和信息化部列入2014年第四批行业标准制修订计划，计划号为2014-2153T-QB。现在，由中国生物发酵产业协会广泛征集该标准起草小组成员，并成立标准起草小组，共同参加标准的起草工作。有意向参加标准起草的单位可登陆发酵产业协会网站，填报《中国生物发酵产业协会标准起草小组成员申请表》。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
质检总局发布2014年度全国进口食品接触产品质量状况,前言食品接触产品是指日常生活中与食品直接接触的器皿、餐厨具等产品，这类产品会与食品或人的口部直接接触，与消费者身体健康密切相关。国家质检总局高度重视进口食品接触产品的检验监管工作，全国各地检验检疫机构严格按照《中华人民共和国进出口商品检验法》及其实施条例、国家质检总局《进出口食品接触产品检验监管工作规范》及相关标准进行检验监督管理，积极开展法律法规和标准宣贯，优化进口食品接触产品合格评定流程，强化产品风险分析，加强风险信息采集、管理和应用，不断提升检验监管针对性和有效性，有力地保障了进口食品接触产品质量安全，维护了我国消费者的健康和权益。为全面反映我国进口食品接触产品的质量状况，科学引导食品接触产品进口贸易，并为国家政策的调整和制定提供依据和数据支持，特编制发布《2014年全国进口食品接触产品质量状况》白皮书，以供各级政府部门、行业协会、企业、消费者和广大质量工作者参考。一、2014年度进口食品接触产品基本情况（一）总体情况2014年全国出入境检验检疫机构共计检验进口食品接触产品79562批、货值7.45亿美元，较2013年分别增加94.5%和57.9%，主要包括陶瓷制品、塑料制品、金属制品、纸制品、家电类及其他材料制品，其中其他材料类制品以玻璃制品为主。各类进口产品货值分布如图1所示。   （二）进口食品接触产品地区分布2014年，我国进口食品接触产品主要集中在东部沿海口岸，进口检验监管前十位的直属局是上海局、广东局、北京局、深圳局、山东局、宁波局、厦门局、天津局、江苏局、辽宁局，上述十局进口批次、货值之和分别占全国的96.9%和97.5%。（三）进口食品接触产品原产国分布2014年度全国进口食品接触产品批次原产国前十位依次是韩国、日本、中国（主要是出口复进口产品，不包括港、澳、台）、德国、意大利、美国、法国、英国、瑞典、土耳其。原产于该10国的食品接触产品合计62732批，占总进口批次的78.8%。各原产国批次占总进口批次的比重如图2所示。二、2014年度进口食品接触产品质量状况（一）总体情况2014年，全国进口食品接触产品检验不合格4776批、货值4507.7万美元，同比分别增加300.7%和274.5%，检验批不合格率为6.0%（检验不合格批次÷进口总批次），达近三年最高；实验室检测12948批，检测不合格228批，检测批不合格率为1.76%（检测不合格批次÷检测总批次），达近三年最低。检验不合格情况猛增一方面是因为进口量的快速增长，更主要的则是标识、标签不合格情况大幅增加。近三年检验批不合格率及检测批不合格率对比如图3所示。（二）主要不合格情况2014年度全国检验检疫机构检出的4776批次不合格进口食品接触产品中，标识标签不合格4310批，安全卫生项目检测不合格228批，其他项目检验不合格239批。标识标签不合格主要表现为无中文标识标签或标识标签内容欠缺；安全卫生项目不合格主要表现为陶瓷制品铅、镉溶出量超标，塑料制品脱色、蒸发残渣及丙烯腈单体超标，金属制品重金属溶出量、涂层蒸发残渣超标，纸制品荧光物质和铅含量超标，家电类重金属和蒸发残渣超标等；其他项目不合格主要表现为货证不符、品质缺陷等。不合格批次原产国（前十位）占进口总不合格批次的比例如图4所示。（注：图表中原产国中国系表示出口复进口）（三）不合格原因分析2014年各类进口食品接触产品检测批不合格率情况如图5所示。其中与食品接触家电类产品是首次纳入质量分析范畴，家电类制品实验室检测比例（家电类检测批次÷家电类进口批次）最低，而检测批不合格率却最高，可见进口家电类食品接触产品存在较为严重的质量安全问题；金属类产品由于我国强制性标准GB9684-2011《食品安全国家标准 不锈钢制品》制定了明确且严格的重金属溶出限量，近年来出现了大量不合格案例；塑料制品蒸发残渣、丙烯腈单体、脱色等指标不合格情况仍普遍存在；纸制品、日用陶瓷及其他制品（主要是玻璃制品）检测不合格率相对较低。三、建议（一）贸易相关方要全面了解中国相关的技术规范要求。随着中国市场购买力和消费能力的不断增强，越来越多的国外餐厨具等食品接触产品品牌进入国内市场，但这些产品的生产企业及贸易双方对我国有关法律法规和标准要求了解不够，进口产品无中文标识标签或标识标签不规范的情况大量存在，消费者在未完全掌握产品相关信息的情况下不正确地使用产品，容易出现问题或受到伤害。因此，建议贸易相关方要严格按照我国相关产品技术规范要求，在进口食品接触产品时，既要保证产品质量，也要规范产品标识标签，避免不必要的贸易损失。（二）继续完善相关法规标准体系。鉴于部分食品接触产品的强制性国家标准已制定实施30年，且一些新材质和产品尚无标准，婴幼儿用食品接触产品未单独制定指标限量，现有标准未根据食品接触产品的实际用途针对性地设置检测项目等情况，建议加强食品接触产品强制性国家标准的制修订工作。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
国家发改委：积极推进粮食企业兼并重组,国家发改委网站3月4日公布发改委主任徐绍史在全国粮食流通工作会议上的讲话。徐绍史表示，2015年粮食流通工作重点要守住四条底线：一是坚决守住总量安全底线；二是坚决守住粮食质量安全底线；三是坚决守住农民增收底线；四是坚决守住市场稳定底线。为此，2015年粮食流通工作将狠抓改革攻坚：一是深化粮食收储体制改革；二是完善粮食储备吞吐调节机制；三是加快推进粮食企业改革，积极推进粮食企业兼并重组和产业化经营，并且鼓励有条件的企业“走出去”；四是积极参与目标价格改革试点。另外，徐绍史还表示，2015年要大力提升粮食收储供应能力，突出的就是要抓好1000亿斤粮仓建设；大力提升科技支撑能力；大力提升粮食加工转化能力。,SCFF.INFO(M).MT.048 双酚A最新食品安全风险评估进展 （2015年4月）
美国发布克百威（Carbofuran）在大米、甘蔗等原料中残留限量要求,2015年4月17日，美国环保署发布对克百威（Carbofuran）的残留限量要求，本规则于2015年4月17日起生效。具体如下：,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
欧盟拟修订啤酒花中苯菌酮的最大残留限量,据欧盟网站消息，4月13日欧盟食品安全局（EFSA）就修订啤酒花中苯菌酮（metrafenone）的最大残留限量发布意见。据了解，依据欧盟委员会法规（EC）No 396/2005第6章的规定，德国收到巴斯夫公司一份申请，要求修订啤酒花中苯菌酮的最大残留限量。依据欧盟委员会（EC）No 396/2005法规第8章的规定，德国起草了一份评估报告，并提交至欧委会，之后转至欧盟食品安全局。欧盟食品安全局对评估报告进行评审后做出如下提议：,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
加拿大拟修订二甲吩草胺和敌草腈的最大残留限量,2015年4月14日，据加拿大卫生部消息，加拿大卫生部发布PMRL2015-11和PMRL2015-12号通报，有害生物管理局提议修订二甲吩草胺（Dimethenamid）和敌草腈（Dichlobenil）的最大残留限量。其中，特别制定了敌草腈在蓝莓果酒重要原料——蓝莓中的残留限量，具体如下：,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
韩国发布食品添加剂按用途分类计划,2015年4月29日，韩国食药厅（KFDA）发表了对食品添加剂根据其用途进行分类的改编计划。该计划包括对食品添加剂根据防腐剂、抗氧化剂、甜味剂等其用途分类为31种，对每种用途进行定义的同时提供每一种添加剂的化学分子式、CAS 分类号、别名、使用限量等内容。在过去的62年中，韩国食品添加剂一直按照合成和天然分类体系进行分类，这不仅导致没有明示食品添加剂用途而误用事例的频繁发生，还给消费者带来天然添加剂安全、合成添加剂不安全的错误认识。KFDA为了消除消费者对食品添加剂的错误认识及为了企业便于理解食品添加剂使用对象食品及使用限量等内容，决定采取该改编计划。KFDA称，将听取学界、企业、消费者团体的意见之后于今年7月确定方案，下半年对《食品卫生法》进行修改时，同时发布食品添加剂基准及规格全部改正案告示。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
墨西哥将实施新的酒精饮料卫生和标签要求,据香港贸发局网站2015年4月24日消息，墨西哥卫生部日前已经批准墨西哥NOM-142-SSA1/SCFI-2014号标准，对酒精饮料卫生和标签要求作出了规定。新标准对这现行技术法规进行了更新：酒精饮料应（i）符合NOM-251-SSA1-2009的规定；（ii）用水应严格符合适应人类饮用，并符合NOM-127-SSA1-1994要求；（iii）作为原料使用的食用酒精，其限量要求为甲醇：100mg/100mL；乙醛：30mg/100mL；糠醛：5mg/100mL；高级醇：200mg/100mL。针对酒精饮料终产品，各类限量指标要求为甲醇：300mg/100mL；乙醛：40mg/100mL；糠醛：5mg/100mL；高级醇：500mg/100mL（威士忌和法国白兰地则为500mg/100mL）。铅或砷：0.5mg/l新要求将于2015年7月21日实施，新标签要求将于2016年3月22日实施。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
巴西众议院批准关于转基因食品标签无须带有警示标识的法律草案,据中国驻巴西大使馆经商参赞处消息，2015年4月28日，巴西众议院全会当日通过了关于转基因食品标签无须带有警示标识的法律草案。此前，巴西《生物安全法》及相关条例规定，转基因成分含量超过1%的食品必须在商品标签含有警示标识，警示标识由一个黄色三角形中间含有黑色大写字母“T”构成。根据此法律草案，以转基因饲料饲养的动物，其衍生产品也不需要在标签中带有警示标识；制成品中转基因成分含量超过1%的食品，厂商仍必须向消费者提供关于转基因性质的信息，但该法律草案并未规定信息提供的标准。该提案的支持者认为，警示标识限制了对转基因食品的消费。巴西劳工党等其他左翼党派曾试图阻止这一提案的通过，但没有成功，此提案主要内容最终以320票赞成、135票反对获得通过，并将转交参议院审议。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
巴林发布海湾国家有机食品农残限量要求,4月8日，巴林发布G/TBT/N/BHR/383号通报，公布了海湾国家有机食品中农残和污染物限量要求标准。该标准参考了CAC标准193-1995污染物和毒物一般标准和埃及标准No(7333/2011)有机产品农药残留和重金属最大限量。巴林有机食品标准规定：如果该产品含有三种或三种以上可被检测到的农残，即使其含量低于统一规定的最低限0.01mg/kg，也不得再被称为“有机食品”。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
印度尼西亚通过新法案 限制出售含酒精饮料,近期，印度尼西亚通过一项新法案，自当地时间4月16日起，除巴厘岛以外，禁止其领土内的小型商店出售啤酒以及其他酒精含量低的饮品。这项措施涉及印尼5.5万名零售商及1.6万家小型超市。由于很难取得相关许可证，印尼大多数商店都已不再出售烈性酒。但大型超市、大型商店、旅店、餐馆和酒吧并未受禁令影响。据报道，巴厘岛是印尼最受外国游客青睐的度假天堂，而新法案曾一度引起人们的担忧。但日前，在与地方社团领导人举行的会议上，印尼贸易部长拉赫莫许诺对法案进行相关调整，允许销售者继续在海滩出售酒精含量低的饮品。报道称，在距新的限制法案生效仅短短数日的时间里，一些伊斯兰教党派提出在印尼全境全面禁止出售含酒精饮料的建议。贸易部长解释到，之所以在小型商店禁止出售酒精含量低的饮品，是基于对公众健康和心理健康的考虑，也是源于对未成年人饮酒的担忧。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
菲律宾发布降低木薯和木薯产品中氢氰酸含量的操作指南,4月27日，菲律宾发布G/SPS/N/PHL/283号通报，公布了菲律宾标准草案PNS/BAFS____:2015 Code of Practice for the Reduction of Hydrocyanic Acid (HCN) in Cassava and Cassava Products。该标准主要目的是为地方监管部门、生产者、经销商、加工者和其他相关人员提供一份指南，以帮助他们在加工木薯及木薯制品时，将氢氰酸含量控制在安全范围之内。国际食品法法典委员会针对木薯及其产品已经制定了其中的氢氰酸限量要求，列表如下：在菲律宾，木薯种植非常广泛，当地语言称之为balinghoy或kamoteng-kahoy。木薯被菲律宾农业部门当作是主粮大米的替代品加以推广。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
泰国发布含酒精饮料的控制与标签使用规则通知草案,2015年4月15日，泰国疾病控制部酒精控制委员会办公室发布G/SPS/N/THA/221/Add.1号通报，通知2014年1月20日发布的G/SPS/N/THA/221中有关含酒精饮料的控制与标签使用规则、步骤和条件通知草案已获批，并于2015年1月22日发布于官方公报上。生效日期为官方公报发布后90天，即2015年4月22日。该法规的主要信息如下：1.酒精饮料的标签不能使用如下信息：1）对消费者不公平，对社会有间接影响的信息（即使这些信息可能涉及到产品的来源、条件、质量或特性，或有关传输、采购、应用等）。对消费者不公平或对社会有间接影响的信息如下：a）错误或虚假的信息b）虽参考学术报告，统计数据，但会误导消费者、或不真实、夸张的信息c）直接或间接的违法或不道德的信息，或者导致对民族文化怀疑的信息d）造成不融洽或偏见的信息2）直接或间接地说服消费或夸大某一酒精饮料的功能及质量的信息2.具有以下任意特征的信息则归为条款1（2）：1）含有“喝酒促进社交，性成功，保健”内容的信息2）使用运动员照片的信息3）使用艺术家或歌手照片的信息4）使用卡通图片的信息5）以向慈善捐款的名义，说服消费者购买产品的信息6）说服消费者参加诸如音乐、运动、竞赛或娱乐等活动的信息3.通报草案不适用于在泰国以外销售而生产或进口的酒精饮料，或特殊用途如作为检测、分析、研究样本使用的酒精饮料及无商业利益的酒精饮料。4.在此通报实施之前的酒精饮料的标签可继续适用，但不超过180天。,SCFF.INFO(M).MT.049 酒税政策 （2015年5月）
